,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,40.41,97,20,6.91,few clouds
1,Urumqi,CN,43.801,87.6005,40.15,56,0,6.71,clear sky
2,Hobart,AU,-42.8794,147.3294,60.12,97,75,1.01,broken clouds
3,Caravelas,BR,-17.7125,-39.2481,76.21,90,89,8.43,overcast clouds
4,Northam,GB,51.0333,-4.2167,59.4,89,100,8.93,overcast clouds
5,Kapaa,US,22.0752,-159.319,87.78,73,40,5.99,light rain
6,Yakeshi,CN,49.2833,120.7333,24.44,82,100,22.06,light snow
7,Rikitea,PF,-23.1203,-134.9692,74.91,72,70,4.03,broken clouds
8,Mataura,NZ,-46.1927,168.8643,57.97,47,20,7.38,few clouds
9,Itabirito,BR,-20.2533,-43.8014,69.21,77,100,1.57,overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.81,69,53,16.24,broken clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,69.01,81,60,9.57,broken clouds
12,Hilo,US,19.7297,-155.09,79.29,90,40,4.61,moderate rain
13,Albany,US,42.6001,-73.9662,63.01,91,84,4.18,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,62.71,75,100,16.87,overcast clouds
15,Georgetown,MY,5.4112,100.3354,87.73,70,61,0.0,broken clouds
16,Bredasdorp,ZA,-34.5322,20.0403,49.28,90,100,5.06,overcast clouds
17,Busselton,AU,-33.65,115.3333,67.05,55,99,8.55,overcast clouds
18,Labrea,BR,-7.2586,-64.7981,78.87,76,56,2.46,broken clouds
19,Camana,PE,-16.6228,-72.7111,61.75,89,98,10.0,overcast clouds
20,Stornoway,GB,58.2093,-6.3865,42.76,81,75,11.5,broken clouds
21,Verkhoyansk,RU,67.5447,133.385,20.14,86,96,2.75,overcast clouds
22,Ponta Do Sol,PT,32.6667,-17.1,68.72,75,5,1.81,clear sky
23,Kushiro,JP,42.975,144.3747,59.32,81,100,9.8,overcast clouds
24,Nelson Bay,AU,-32.7167,152.15,75.76,38,13,4.0,few clouds
25,Kodiak,US,57.79,-152.4072,44.11,53,40,11.5,scattered clouds
26,Gornopravdinsk,RU,60.05,69.9,40.01,93,13,7.11,few clouds
27,Barrow,US,71.2906,-156.7887,26.62,80,90,20.71,overcast clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,29.16,86,100,4.76,overcast clouds
29,Tiksi,RU,71.6872,128.8694,11.21,91,99,6.76,overcast clouds
30,Semnan,IR,35.5729,53.3971,61.92,38,0,5.93,clear sky
31,Malya,TZ,-2.9833,33.5167,71.74,65,78,2.13,broken clouds
32,Huarmey,PE,-10.0681,-78.1522,64.38,84,100,9.08,overcast clouds
33,Mobaye,CF,4.319,21.1786,67.96,97,100,1.9,light rain
34,Mahebourg,MU,-20.4081,57.7,71.89,78,40,6.91,scattered clouds
35,Billings,US,45.7833,-108.5007,44.37,52,90,17.27,overcast clouds
36,Ayagoz,KZ,47.9714,80.4392,35.11,62,0,14.36,clear sky
37,Santa Fe,AR,-31.6333,-60.7,57.02,68,100,5.01,overcast clouds
38,Glendive,US,47.1053,-104.7125,40.69,80,90,5.75,overcast clouds
39,Kaitangata,NZ,-46.2817,169.8464,58.1,48,15,5.37,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,20.71,scattered clouds
41,Provideniya,RU,64.3833,-173.3,32.11,59,75,13.42,light snow
42,Faanui,PF,-16.4833,-151.75,80.6,76,67,12.12,light rain
43,Leningradskiy,RU,69.3833,178.4167,19.35,94,100,7.14,light snow
44,Bluff,NZ,-46.6,168.3333,50.77,65,61,17.02,broken clouds
45,Grindavik,IS,63.8424,-22.4338,43.27,75,75,24.16,broken clouds
46,Carnarvon,AU,-24.8667,113.6333,75.52,59,0,16.42,clear sky
47,Ukiah,US,39.1502,-123.2078,66.65,34,1,4.61,clear sky
48,Seoul,KR,37.5683,126.9778,65.59,62,95,1.72,overcast clouds
49,Manaure,CO,11.7751,-72.4445,83.75,78,98,6.76,overcast clouds
50,Kimbe,PG,-5.5502,150.1429,89.38,60,34,7.05,scattered clouds
51,Itoman,JP,26.1247,127.6694,88.18,68,20,13.8,few clouds
52,Katsuura,JP,35.1333,140.3,71.71,63,1,4.5,clear sky
53,Mackay,AU,-21.15,149.2,91.69,74,54,20.2,broken clouds
54,Pochutla,MX,15.7432,-96.4661,82.81,90,45,3.67,scattered clouds
55,Qaanaaq,GL,77.484,-69.3632,10.69,83,52,6.73,broken clouds
56,Kununurra,AU,-15.7667,128.7333,96.78,9,75,6.91,broken clouds
57,Saint Anthony,US,45.0205,-93.218,49.62,74,75,1.01,broken clouds
58,San Pedro,PH,14.35,121.0167,79.65,84,100,0.98,overcast clouds
59,Hithadhoo,MV,-0.6,73.0833,83.44,77,93,22.59,overcast clouds
60,Mogadishu,SO,2.0371,45.3438,77.61,80,24,11.81,few clouds
61,Atuona,PF,-9.8,-139.0333,78.01,78,16,17.47,light rain
62,Mar Del Plata,AR,-38.0023,-57.5575,53.1,28,90,7.0,overcast clouds
63,Lavrentiya,RU,65.5833,-171.0,30.49,76,100,9.13,overcast clouds
64,Esperance,AU,-33.8667,121.9,63.39,56,47,9.26,scattered clouds
65,Ribeira Grande,PT,38.5167,-28.7,70.68,84,35,12.24,scattered clouds
66,Tevaitoa,PF,-16.7833,-151.5,80.76,72,86,12.1,overcast clouds
67,Zhangye,CN,38.9342,100.4517,48.47,33,43,2.08,scattered clouds
68,Dongsheng,CN,39.8161,109.9776,43.84,29,88,10.74,overcast clouds
69,Ushuaia,AR,-54.8,-68.3,40.66,52,20,5.75,few clouds
70,Christchurch,NZ,-43.5333,172.6333,58.95,63,20,4.0,few clouds
71,Hurghada,EG,27.2574,33.8129,76.28,56,0,13.42,clear sky
72,Ilulissat,GL,69.2167,-51.1,30.22,93,90,4.61,light snow
73,Saskylakh,RU,71.9167,114.0833,3.06,92,91,10.02,overcast clouds
74,Chapais,CA,49.7834,-74.8492,58.89,95,100,4.85,overcast clouds
75,Richards Bay,ZA,-28.783,32.0377,67.71,76,3,11.95,clear sky
76,Vaini,TO,-21.2,-175.2,80.76,78,75,14.97,broken clouds
77,Magadan,RU,59.5667,150.8,28.98,56,44,14.12,scattered clouds
78,Lasa,IT,46.6166,10.7002,34.36,57,48,2.89,scattered clouds
79,Lebu,CL,-37.6167,-73.65,46.11,72,4,6.55,clear sky
80,Thompson,CA,55.7435,-97.8558,37.78,97,100,6.87,overcast clouds
81,Asau,RO,46.4333,26.4,40.75,95,100,1.23,light rain
82,Kamaishi,JP,39.2667,141.8833,61.75,65,57,7.96,broken clouds
83,Wanaka,NZ,-44.7,169.15,59.16,49,19,4.25,few clouds
84,Sakaiminato,JP,35.55,133.2333,68.63,69,0,3.91,clear sky
85,Suzun,RU,53.7841,82.3116,33.06,82,5,5.75,clear sky
86,Ipixuna,BR,-1.7625,-48.8043,78.75,77,33,5.32,scattered clouds
87,Cidreira,BR,-30.1811,-50.2056,67.32,96,79,13.35,broken clouds
88,Lakatoro,VU,-16.0999,167.4164,81.57,75,58,6.02,broken clouds
89,Saint-Pierre,RE,-21.3393,55.4781,71.24,80,0,3.44,clear sky
90,Isangel,VU,-19.55,169.2667,79.81,71,40,12.57,scattered clouds
91,Kapit,MY,2.0167,112.9333,86.29,74,78,1.99,broken clouds
92,Nikolskoye,RU,59.7035,30.7861,40.87,83,37,6.31,scattered clouds
93,Tigil,RU,57.8,158.6667,35.26,66,100,12.44,overcast clouds
94,Troitskoye,RU,52.9821,84.6757,33.85,77,5,9.4,clear sky
95,Kokopo,PG,-4.352,152.2633,85.82,65,24,4.92,few clouds
96,Tautira,PF,-17.7333,-149.15,84.22,74,35,11.54,scattered clouds
97,Saint-Philippe,RE,-21.3585,55.7679,71.15,83,37,10.38,scattered clouds
98,Chimbote,PE,-9.0853,-78.5783,63.09,86,99,7.47,overcast clouds
99,Geraldton,AU,-28.7667,114.6,90.12,13,3,10.36,clear sky
100,Gamba,GA,-2.65,10.0,76.24,90,92,5.82,overcast clouds
101,Lahaina,US,20.8783,-156.6825,82.4,87,94,11.9,overcast clouds
102,Buala,SB,-8.145,159.5921,85.08,69,97,4.47,light rain
103,Tessalit,ML,20.1986,1.0114,81.68,11,23,9.73,few clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,72.43,95,86,23.69,overcast clouds
105,Kahului,US,20.8947,-156.47,82.42,72,40,24.16,scattered clouds
106,Pangkalanbuun,ID,-2.6833,111.6167,80.98,86,96,3.69,moderate rain
107,Kalmunai,LK,7.4167,81.8167,81.86,74,100,4.34,overcast clouds
108,San Quintin,MX,30.4833,-115.95,65.48,68,0,8.21,clear sky
109,Moerai,PF,-22.4333,-151.3333,76.86,76,6,2.91,clear sky
110,Airai,TL,-8.9266,125.4092,79.29,46,70,1.07,broken clouds
111,Hokitika,NZ,-42.7167,170.9667,54.36,64,37,7.65,scattered clouds
112,Dalvik,IS,65.9702,-18.5286,39.96,78,83,14.23,broken clouds
113,College,US,64.8569,-147.8028,33.01,75,95,2.13,overcast clouds
114,Saldanha,ZA,-33.0117,17.9442,59.04,77,100,10.22,overcast clouds
115,Englewood,US,39.6478,-104.9878,41.61,80,75,1.01,broken clouds
116,Bengkulu,ID,-3.8004,102.2655,81.1,71,98,2.06,overcast clouds
117,Rock Sound,BS,24.9,-76.2,81.7,72,9,9.44,clear sky
118,Iquique,CL,-20.2208,-70.1431,60.84,76,45,2.13,scattered clouds
119,Jamestown,US,42.097,-79.2353,71.19,91,40,4.0,scattered clouds
120,Hermanus,ZA,-34.4187,19.2345,56.89,81,50,8.93,light rain
121,Loten,NO,60.8171,11.3376,42.62,76,33,7.18,scattered clouds
122,Hasaki,JP,35.7333,140.8333,79.29,61,0,3.44,clear sky
123,Cape Town,ZA,-33.9258,18.4232,58.08,81,95,6.96,light rain
124,Frederico Westphalen,BR,-27.3592,-53.3944,72.45,96,83,2.06,moderate rain
125,Mansa,IN,29.9833,75.3833,70.45,36,0,3.71,clear sky
126,Faranah,GN,10.0404,-10.7434,71.44,92,97,2.24,overcast clouds
127,Vao,NC,-22.6667,167.4833,69.58,75,54,14.43,broken clouds
128,Tucurui,BR,-3.7661,-49.6725,81.27,58,50,2.89,scattered clouds
129,Chardara,KZ,41.2547,67.9692,52.21,35,0,5.7,clear sky
130,Cockburn Town,TC,21.4612,-71.1419,82.8,76,51,12.86,broken clouds
131,Fortuna,US,40.5982,-124.1573,56.32,87,1,1.01,clear sky
132,Husavik,IS,66.0449,-17.3389,31.3,77,53,11.83,broken clouds
133,Nanortalik,GL,60.1432,-45.2371,40.33,59,64,4.79,broken clouds
134,Ahipara,NZ,-35.1667,173.1667,60.62,51,1,6.98,clear sky
135,Reshetylivka,UA,49.565,34.0782,43.32,64,100,4.68,overcast clouds
136,Hovd,MN,48.0056,91.6419,33.1,50,5,1.1,clear sky
137,Ust-Kut,RU,56.7938,105.7672,21.52,65,25,2.84,scattered clouds
138,Santiago Del Estero,AR,-27.7951,-64.2615,57.81,64,45,24.74,scattered clouds
139,Touros,BR,-5.1989,-35.4608,76.1,82,24,14.67,few clouds
140,North Bend,US,43.4065,-124.2243,56.91,96,1,0.0,mist
141,Flinders,AU,-34.5833,150.8552,70.38,63,63,8.32,light rain
142,Seddon,AU,-37.8068,144.8916,66.2,57,40,8.01,scattered clouds
143,Khabary,RU,53.6259,79.5345,35.24,89,6,6.55,clear sky
144,Saint George,US,37.1041,-113.5841,61.63,35,1,3.0,clear sky
145,Tacotalpa,MX,17.6,-92.8167,80.49,88,93,1.61,overcast clouds
146,Giddarbaha,IN,30.2,74.6667,71.08,29,0,2.53,clear sky
147,Mizan Teferi,ET,6.9833,35.5833,59.65,90,7,3.51,clear sky
148,Anadyr,RU,64.75,177.4833,19.9,85,20,11.01,few clouds
149,Trairi,BR,-3.2778,-39.2689,79.27,82,10,11.95,clear sky
150,Pevek,RU,69.7008,170.3133,20.37,92,100,1.34,light snow
151,Luanda,AO,-8.8368,13.2343,74.43,79,100,7.65,overcast clouds
152,Jardim,BR,-21.4803,-56.1381,80.49,68,55,8.46,broken clouds
153,Bibai,JP,43.3247,141.8586,63.99,64,99,13.47,overcast clouds
154,Mehamn,NO,71.0357,27.8492,35.2,98,100,8.05,light snow
155,Nemuro,JP,43.3236,145.575,59.23,86,94,6.85,overcast clouds
156,Dingle,PH,10.9995,122.6711,82.18,82,96,4.07,overcast clouds
157,Taoudenni,ML,22.6783,-3.9836,86.7,13,32,7.11,scattered clouds
158,Mount Gambier,AU,-37.8333,140.7667,51.71,87,75,18.41,broken clouds
159,Kirkwall,GB,58.9848,-2.9587,44.65,71,75,20.71,broken clouds
160,Chokurdakh,RU,70.6333,147.9167,9.54,97,100,1.99,overcast clouds
161,Pangnirtung,CA,66.1451,-65.7125,26.47,66,97,2.62,overcast clouds
162,Hazorasp,UZ,41.3194,61.0742,40.84,35,6,10.02,clear sky
163,Berezovyy,RU,51.6667,135.7,33.49,67,99,3.09,overcast clouds
164,Dicabisagan,PH,17.0818,122.4157,81.19,85,31,5.19,scattered clouds
165,Sitka,US,57.0531,-135.33,42.69,81,75,9.22,light rain
166,San Marcos De Colon,HN,13.4333,-86.8,66.61,97,87,2.15,overcast clouds
167,Constitucion,CL,-35.3333,-72.4167,46.26,78,0,11.32,clear sky
168,Gambela,ET,8.25,34.5833,68.23,88,7,3.98,clear sky
169,Roebourne,AU,-20.7833,117.1333,86.05,31,0,4.74,clear sky
170,Binzhou,CN,37.3667,118.0167,65.26,67,92,4.68,overcast clouds
171,Samarai,PG,-10.6167,150.6667,82.56,76,97,2.71,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,59.76,90,100,3.11,overcast clouds
173,Haines Junction,CA,60.7522,-137.5108,29.8,94,94,4.47,overcast clouds
174,Yaring,TH,6.8662,101.3689,84.11,71,94,3.27,moderate rain
175,Manta,EC,-0.95,-80.7333,71.38,88,90,6.91,overcast clouds
176,Soure,BR,-0.7167,-48.5233,81.05,72,51,9.84,broken clouds
177,Saint-Georges,GD,12.0564,-61.7485,83.88,84,20,16.11,few clouds
178,Sao Filipe,CV,14.8961,-24.4956,78.12,75,72,8.39,broken clouds
179,Castro,BR,-24.7911,-50.0119,60.39,95,7,4.34,clear sky
180,East London,ZA,-33.0153,27.9116,63.55,74,100,12.55,overcast clouds
181,San Policarpo,PH,12.1791,125.5072,81.36,82,51,2.75,broken clouds
182,Kruisfontein,ZA,-34.0033,24.7314,57.88,85,80,5.99,broken clouds
183,Khatanga,RU,71.9667,102.5,5.29,90,100,5.88,overcast clouds
184,Beringovskiy,RU,63.05,179.3167,21.18,75,22,8.9,few clouds
185,Sechura,PE,-5.5569,-80.8222,65.41,79,67,14.03,broken clouds
186,Yelizovo,RU,53.1873,158.3805,48.34,76,40,11.18,scattered clouds
187,Aklavik,CA,68.2191,-135.0107,22.21,93,79,4.34,broken clouds
188,Chilliwack,CA,49.1747,-121.9443,52.84,93,100,0.87,overcast clouds
189,Korla,CN,41.7597,86.1469,48.2,33,20,2.95,few clouds
190,Lizzano,IT,40.391,17.4476,60.28,52,83,23.29,broken clouds
191,Lompoc,US,34.6391,-120.4579,68.41,68,1,9.22,clear sky
192,Adela,PH,12.4416,120.9729,79.75,83,100,3.31,overcast clouds
193,Mareeba,AU,-17.0,145.4333,79.48,60,100,2.59,overcast clouds
194,Yining,CN,29.0361,114.5636,62.87,88,100,3.22,overcast clouds
195,Souillac,MU,-20.5167,57.5167,71.98,78,40,6.91,scattered clouds
196,Marsh Harbour,BS,26.5412,-77.0636,80.64,70,8,9.75,clear sky
197,Nome,US,64.5011,-165.4064,35.67,65,90,0.0,overcast clouds
198,Valverde Del Camino,ES,37.5751,-6.7543,64.02,54,100,3.47,overcast clouds
199,Tanete,ID,-3.9443,119.7848,88.27,59,83,5.35,broken clouds
200,Kindu,CD,-2.95,25.95,69.75,99,100,2.51,light rain
201,Kenner,US,29.9941,-90.2417,80.98,76,75,8.99,broken clouds
202,Cubuk,TR,40.2386,33.0322,52.77,75,0,0.0,clear sky
203,Bucerias,MX,20.75,-105.3333,82.38,74,40,3.44,scattered clouds
204,Rawson,AR,-43.3002,-65.1023,51.98,35,98,6.85,overcast clouds
205,Arosa,CH,46.7779,9.6762,30.29,69,8,4.05,clear sky
206,Katobu,ID,-4.9408,122.5276,87.75,62,100,2.95,overcast clouds
207,Kutum,SD,14.2,24.6667,74.75,59,81,6.46,broken clouds
208,Ciudad Bolivar,VE,8.1222,-63.5497,80.69,78,100,8.05,overcast clouds
209,Liuzhou,CN,24.3126,109.3892,73.22,66,41,17.43,scattered clouds
210,Victor Harbor,AU,-35.5667,138.6167,62.47,69,32,4.0,scattered clouds
211,Bethel,US,41.3712,-73.414,65.55,89,1,4.61,clear sky
212,Sazonovo,RU,59.0919,35.2268,35.15,96,88,4.63,overcast clouds
213,Ati,TD,13.2154,18.3353,75.54,81,100,13.27,overcast clouds
214,Sinazongwe,ZM,-17.2614,27.4618,72.12,37,0,4.65,clear sky
215,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,97,95,7.29,overcast clouds
216,Ancud,CL,-41.8697,-73.8203,41.43,75,60,8.03,broken clouds
217,Mount Isa,AU,-20.7333,139.5,83.97,10,100,14.97,overcast clouds
218,Darab,IR,28.7519,54.5444,69.57,20,0,8.28,clear sky
219,Bubaque,GW,11.2833,-15.8333,83.84,71,17,8.1,few clouds
220,Avarua,CK,-21.2078,-159.775,80.65,65,20,6.91,few clouds
221,Dikson,RU,73.5069,80.5464,32.18,99,100,4.92,overcast clouds
